"BehaviorSpace results (NetLogo 6.2.2)"
"Stag_hunt_resorting_procedures_v05.nlogo"
"Empirical experiment"
"08/07/2022 20:44:28:427 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36","37","37","37","37","38","38","38","38","39","39","39","39","40","40","40","40","41","41","41","41","42","42","42","42","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","46","47","47","47","47","48","48","48","48","49","49","49","49","50","50","50","50","51","51","51","51","52","52","52","52","53","53","53","53","54","54","54","54","55","55","55","55","56","56","56","56","57","57","57","57","58","58","58","58","59","59","59","59","60","60","60","60","61","61","61","61","62","62","62","62","63","63","63","63","64","64","64","64","65","65","65","65","66","66","66","66","67","67","67","67","68","68","68","68","69","69","69","69","70","70","70","70","71","71","71","71","72","72","72","72","73","73","73","73","74","74","74","74","75","75","75","75","76","76","76","76","77","77","77","77","78","78","78","78","79","79","79","79","80","80","80","80","81","81","81","81","82","82","82","82","83","83","83","83","84","84","84","84","85","85","85","85","86","86","86","86","87","87","87","87","88","88","88","88","89","89","89","89","90","90","90","90","91","91","91","91","92","92","92","92","93","93","93","93","94","94","94","94","95","95","95","95","96","96","96","96","97","97","97","97","98","98","98","98","99","99","99","99","100","100","100","100"
"density","60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,
"start-trust","43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,,"43",,,
"start-optimist","40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,
"start-comm","57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,,"57",,,
"leader?","false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,,"false",,,
"[reporter]","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local","stag-global","stag-local","hare-global","hare-local"
"[final]","5","0","61","54","10","0","65","59","6","0","74","73","17","5","57","44","18","6","63","55","17","4","60","49","13","0","60","51","15","0","56","44","8","0","72","72","13","0","54","37","8","0","63","55","11","0","62","53","8","0","64","55","8","0","64","55","3","0","63","53","17","0","58","49","9","0","54","44","10","0","52","38","11","0","62","57","11","0","66","55","10","0","66","60","6","0","67","63","13","0","61","54","10","0","72","66","12","0","52","40","15","1","50","36","14","0","50","39","8","0","58","47","5","0","70","63","22","3","51","37","15","0","55","47","15","0","58","44","13","0","60","51","0","0","73","70","3","0","66","58","17","1","54","38","11","0","56","42","8","0","60","54","0","0","77","75","15","1","56","45","17","3","61","56","14","0","54","39","16","0","68","61","10","0","62","58","13","1","47","33","13","0","63","59","13","0","63","54","21","2","55","41","6","0","66","60","17","0","65","57","21","0","52","34","6","0","58","50","12","1","56","39","14","1","58","48","16","1","58","52","16","0","53","41","10","0","59","51","4","0","66","58","16","0","49","34","13","2","58","49","31","5","54","38","16","0","66","60","16","2","63","55","15","0","56","48","5","0","66","54","13","0","50","39","24","0","54","44","10","0","59","48","12","1","51","38","4","0","70","66","0","0","70","65","8","0","57","45","10","0","63","54","6","0","61","55","16","0","61","51","8","0","63","58","11","0","59","50","6","0","66","60","18","0","71","68","18","1","57","45","9","0","63","55","16","0","47","29","14","1","60","52","15","0","57","50","20","1","56","47","5","0","67","60","20","1","51","40","15","0","61","52","14","7","61","55","8","0","60","57","24","1","46","31","11","0","65","62","21","0","45","30","19","4","54","32","22","0","47","26","7","0","62","53","13","0","65","61","16","0","52","40","3","0","73","72","11","0","61","55"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","19","7","64","60","26","7","70","68","20","3","79","78","32","15","61","56","30","13","72","69","30","12","72","70","25","8","68","65","24","6","66","61","19","6","76","75","28","9","59","53","16","4","69","68","23","9","67","64","23","5","68","66","16","4","71","69","14","0","65","63","25","10","65","62","20","7","57","48","20","7","56","49","22","7","68","66","20","5","75","73","22","8","72","69","17","4","72","70","29","14","65","61","25","12","77","76","24","7","57","51","25","7","57","49","29","10","57","49","20","5","61","56","25","5","72","70","28","10","63","57","22","5","64","59","29","9","64","58","21","6","67","66","26","11","73","70","12","2","68","66","25","8","64","59","19","6","62","56","18","6","63","58","22","4","77","76","27","11","61","55","33","15","69","66","20","8","62","58","29","14","72","70","20","6","67","64","21","7","55","45","31","9","70","65","21","7","71","68","27","13","66","62","19","5","68","64","27","9","72","70","31","21","61","53","17","5","61","54","20","9","59","53","25","9","67","64","27","13","67","60","27","11","61","54","18","5","66","61","18","2","69","68","26","12","52","45","21","8","64","60","40","23","67","63","27","13","73","73","27","8","74","71","22","8","65","60","21","4","68","64","24","8","53","45","34","17","60","54","19","7","63","58","26","11","59","51","13","2","72","71","15","5","70","68","26","7","62","56","25","11","66","64","17","4","64","59","23","8","70","68","24","6","66","63","26","11","64","60","17","3","69","68","37","18","78","76","29","12","66","60","24","5","67","63","24","9","55","48","22","4","71","69","18","8","67","65","33","15","62","55","21","5","68","65","32","12","57","51","25","8","70","67","20","7","69","67","19","4","66","61","27","13","59","51","27","4","74","74","25","9","57","52","30","11","62","56","34","16","58","50","20","6","65","62","28","12","74","73","21","8","60","54","17","5","75","75","22","4","69","68"
